player5;21:52 08.11.2024;82;23;1
player2;16:22 07.11.2024;23;12;2
player3;14:12 09.11.2024;21;22;1
player;4:12 10.11.2024;345;17;3
Nemkoff;3:54 10.11.2024;330;19;2
player;13:24 10.11.2024;0;1;1
player;14:12 10.11.2024;125;6;1
player2;16:22 07.11.2024;23;12;4
player3;14:12 09.11.2024;21;22;1
player;4:12 10.11.2024;345;17;3
Nemkoff;3:54 10.11.2024;330;19;1
player;13:24 10.11.2024;0;1;2
player;14:12 10.11.2024;125;6;3
player2;16:22 07.11.2024;23;12;1
player3;14:12 09.11.2024;21;22;5
player;4:12 10.11.2024;345;17;2
Nemkoff;3:54 10.11.2024;330;19;3
player;13:24 10.11.2024;0;1;1
player;14:12 10.11.2024;125;6;3
player2;16:22 07.11.2024;23;12;1
player3;14:12 09.11.2024;21;22;4
player;4:12 10.11.2024;345;17;1
Nemkoff;3:54 10.11.2024;330;19;5
player;13:24 10.11.2024;0;1;2
player;14:12 10.11.2024;125;6;3
player;23::10 11.11.2024;260;10;1
player;23:11 11.11.2024;295;10;2
player;23:55 11.11.2024;0;1;1
Dmitrii;10:03 13.11.2024;265;25;1
player;10:05 13.11.2024;300;12;1
player;10:07 13.11.2024;900;75;1
Player;10:10 13.11.2024;640;21;1
Player;10:11 13.11.2024;380;44;1
Nikita;10:13 13.11.2024;1105;44;1
player;10:15 13.11.2024;595;18;1
player;05:44 15.11.2024;0;1;1
Player;05:45 15.11.2024;1280;44;1
Player;10:20 15.11.2024;250;11;1
player;10:24 15.11.2024;190;11;1
player;10:27 15.11.2024;390;54;1
player;16:17 18.11.2024;0;1;1
player;12:17 19.11.2024;0;0;1
player;12:21 19.11.2024;0;0;1
player;12:30 19.11.2024;0;0;1
